number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,priority_label,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,Priority_Label
INC0000464,New,True,0,0,0,True,Caller 2128,Opened by  443,1/3/2016 1:22,Created by 192,1/3/2016 1:35,Updated by 809,3-Jan-16,Phone,Location 143,Category 37,Subcategory 123,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 46,Resolver 74,True,False,Do Not Notify,?,?,?,?,code 8,User_67,22-03-2016 15:08,27-03-2016 15:59,Moderate
INC0000467,New,True,0,0,0,True,Caller 3933,Opened by  443,1/3/2016 1:31,Created by 192,1/3/2016 1:47,Updated by 809,3-Jan-16,Phone,Location 143,Category 45,Subcategory 29,Symptom 7,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 55,Resolver 153,True,False,Do Not Notify,?,?,?,?,code 6,User_137,13-04-2016 10:28,18-04-2016 11:07,Moderate
INC0000468,New,True,0,0,0,True,Caller 93,Opened by  443,1/3/2016 1:36,Created by 192,1/3/2016 1:42,Updated by 809,3-Jan-16,Phone,Location 161,Category 53,Subcategory 130,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 24,Resolver 249,True,False,Do Not Notify,?,?,?,?,code 3,User_227,1/3/2016 9:11,6/3/2016 10:00,Moderate
INC0000469,New,True,0,0,0,True,Caller 93,Opened by  443,1/3/2016 1:42,Created by 192,1/3/2016 1:49,Updated by 809,3-Jan-16,Phone,Location 161,Category 45,Subcategory 94,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 33,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 1,User_197,2/3/2016 10:37,7/3/2016 11:00,Moderate
INC0000473,New,True,0,0,0,True,Caller 3136,Opened by  443,1/3/2016 1:49,Created by 192,1/3/2016 2:03,Updated by 809,3-Jan-16,Phone,Location 143,Category 37,Subcategory 123,Symptom 509,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 48,Resolver 74,True,False,Do Not Notify,?,?,?,?,code 8,User_67,22-03-2016 15:14,27-03-2016 15:59,Moderate
INC0000477,New,True,0,0,0,True,Caller 2327,Opened by  443,1/3/2016 2:30,Created by 192,1/3/2016 2:34,Updated by 809,3-Jan-16,Phone,Location 161,Category 37,Subcategory 135,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 49,Resolver 249,True,False,Do Not Notify,?,?,?,?,code 5,User_227,2/3/2016 9:01,7/3/2016 10:00,Moderate
INC0000480,New,True,0,0,0,True,Caller 288,Opened by  443,1/3/2016 2:56,?,?,Updated by 908,3-Jan-16,Phone,Location 143,Category 63,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 56,?,True,False,Do Not Notify,?,?,?,?,code 7,User_2,1/3/2016 9:39,6/3/2016 10:00,Moderate
INC0000486,Active,True,0,0,0,True,Caller 4508,Opened by  390,1/3/2016 3:57,?,?,Updated by 908,3-Jan-16,Phone,Location 125,Category 40,Subcategory 215,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 2,User_189,1/3/2016 4:17,6/3/2016 5:00,Moderate
INC0000491,New,True,0,0,0,True,Caller 5613,Opened by  443,1/3/2016 5:04,?,?,Updated by 908,3-Jan-16,Phone,Location 204,Category 45,Subcategory 29,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 3,User_189,1/3/2016 5:50,6/3/2016 6:00,Moderate
INC0000493,New,True,0,0,0,True,Caller 3560,Opened by  180,1/3/2016 6:05,?,?,Updated by 908,3-Jan-16,Phone,Location 204,Category 9,Subcategory 164,Symptom 472,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 25,?,True,False,Do Not Notify,?,?,?,?,code 9,User_133,17-03-2016 14:28,24-03-2016 18:59,Moderate
INC0000494,New,True,0,0,0,True,Caller 876,Opened by  131,1/3/2016 7:09,?,?,Updated by 908,3-Jan-16,Phone,Location 161,Category 53,Subcategory 303,Symptom 607,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,User_2,3/3/2016 10:13,8/3/2016 11:00,Moderate
INC0000497,New,True,0,0,0,True,Caller 1278,Opened by  180,1/3/2016 7:42,Created by 81,1/3/2016 7:50,Updated by 340,3-Jan-16,Phone,Location 54,Category 23,Subcategory 75,Symptom 6,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 229,True,False,Do Not Notify,?,?,?,?,code 6,User_208,4/3/2016 17:50,9/3/2016 18:00,Moderate
INC0000499,New,True,0,0,0,True,Caller 1065,Opened by  24,1/3/2016 7:55,Created by 13,1/3/2016 7:59,Updated by 60,3-Jan-16,Phone,Location 241,Category 53,Subcategory 83,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 24,Resolver 249,True,False,Do Not Notify,?,?,?,?,code 5,User_227,1/3/2016 9:16,6/3/2016 10:00,Moderate
INC0000500,New,True,0,0,0,True,Caller 4180,Opened by  180,1/3/2016 7:56,Created by 81,1/3/2016 8:03,Updated by 340,3-Jan-16,Phone,Location 143,Category 23,Subcategory 75,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 28,?,True,False,Do Not Notify,?,?,?,?,code 6,User_215,2/3/2016 9:08,7/3/2016 10:00,Moderate
INC0000503,New,True,0,0,0,True,Caller 1777,Opened by  131,1/3/2016 8:00,Created by 62,1/3/2016 8:10,Updated by 265,3-Jan-16,Phone,Location 143,Category 53,Subcategory 168,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_215,2/3/2016 17:23,7/3/2016 18:00,Moderate
